COMPONENT,COMPONENT_cleaned
Brassica oleracea var italica Ak.IgE.RAST Klasse,brassica oleracea var italica ak ige rast klasse
Brassica oleracea var gemmifera Ak.IgE.RAST Klasse,brassica oleracea var gemmifera ak ige rast klasse
Fagopyrum esculentum Ak.IgE.RAST Klasse,fagopyrum esculentum ak ige rast klasse
Theobroma cacao Ak.IgE.RAST Klasse,theobroma cacao ak ige rast klasse
Averrhoa carambola Ak.IgE.RAST Klasse,averrhoa carambola ak ige rast klasse
Acremonium sp Ak.IgE.RAST Klasse,acremonium sp ak ige rast klasse
Castanea sativa-Pollen Ak.IgE.RAST Klasse,castanea sativa pollen ak ige rast klasse
Chlamydia trachomatis B Ak.IgA,chlamydia trachomatis ak iga
Rote Bohne Ak.IgE.RAST Klasse,rote bohne ak ige rast klasse
Fagus grandifolia Ak.IgE.RAST Klasse,fagus grandifolia ak ige rast klasse
Rindfleisch Ak.IgE.RAST Klasse,rindfleisch ak ige rast klasse
Vaccinium myrtillus Ak.IgE.RAST Klasse,vaccinium myrtillus ak ige rast klasse
Acer negundo Ak.IgE.RAST Klasse,acer negundo ak ige rast klasse
Bovines Serumalbumin Ak.IgE.RAST Klasse,bovines serumalbumin ak ige rast klasse
Opiate,opiate
Prunus persica Ak.IgG.RAST Klasse,prunus persica ak igg rast klasse
Pyrus communis Ak.IgG.RAST Klasse,pyrus communis ak igg rast klasse
Piper nigrum Ak.IgG.RAST Klasse,piper nigrum ak igg rast klasse
Basenüberschuss,basenueberschuss
Wellensittichfeder Ak.IgE.RAST Klasse,wellensittichfeder ak ige rast klasse
Bombus terrestris Ak.IgE.RAST Klasse,bombus terrestris ak ige rast klasse
Brassica oleracea var capitata Ak.IgE.RAST Klasse,brassica oleracea var capitata ak ige rast klasse
Candida albicans Ak.IgE.RAST Klasse,candida albicans ak ige rast klasse
Chloramin T Ak.IgE.RAST Klasse,chloramin ak ige rast klasse
Chymopapain Ak.IgE.RAST Klasse,chymopapain ak ige rast klasse
Ruditapes spp Ak.IgE.RAST Klasse,ruditapes spp ak ige rast klasse
Xanthium commune Ak.IgE.RAST Klasse,xanthium commune ak ige rast klasse
Zea mays-Pollen Ak.IgE.RAST Klasse,zea mays pollen ak ige rast klasse
Baumwollsamen Ak.IgE.RAST Klasse,baumwollsamen ak ige rast klasse
Kuhschuppen Ak.IgE.RAST Klasse,kuhschuppen ak ige rast klasse
Cancer pagurus Ak.IgE.RAST Klasse,cancer pagurus ak ige rast klasse
Vaccinium oxycoccos Ak.IgE.RAST Klasse,vaccinium oxycoccos ak ige rast klasse
Cucumis sativus Ak.IgE.RAST Klasse,cucumis sativus ak ige rast klasse
Curry Ak.IgE.RAST Klasse,curry ak ige rast klasse
Curvularia lunata Ak.IgE.RAST Klasse,curvularia lunata ak ige rast klasse
Daucus carota Ak.IgE.RAST Klasse,daucus carota ak ige rast klasse
Apium graveolens Ak.IgE.RAST Klasse,apium graveolens ak ige rast klasse
Chaetomium globosum Ak.IgE.RAST Klasse,chaetomium globosum ak ige rast klasse
Castanea sativa Ak.IgE.RAST Klasse,castanea sativa ak ige rast klasse
Hühnerfleisch Ak.IgE.RAST Klasse,huehnerfleisch ak ige rast klasse
Zea mays Ak.IgE.RAST Klasse,zea mays ak ige rast klasse
Baumwollfasern Ak.IgE.RAST Klasse,baumwollfasern ak ige rast klasse
Populus deltoides Ak.IgE.RAST Klasse,populus deltoides ak ige rast klasse
Cupressus arizonica Ak.IgE.RAST Klasse,cupressus arizonica ak ige rast klasse
Cupressus sempervirens Ak.IgE.RAST Klasse,cupressus sempervirens ak ige rast klasse
Taraxacum vulgare Ak.IgE.RAST Klasse,taraxacum vulgare ak ige rast klasse
Cyclosporin,cyclosporin
Lycopersicon lycopersicum Ak.IgE.RAST Klasse,lycopersicon lycopersicum ak ige rast klasse
Trimellitisches Anhydrid Ak.IgE.RAST Klasse,trimellitisches anhydrid ak ige rast klasse
Thunnus albacares Ak.IgE.RAST Klasse,thunnus albacares ak ige rast klasse
Ulocladium chartarum Ak.IgE.RAST Klasse,ulocladium chartarum ak ige rast klasse
Glaskraut Ak.IgE.RAST Klasse,glaskraut ak ige rast klasse
Juglans spp Ak.IgE.RAST Klasse,juglans spp ak ige rast klasse
Juglans california-Pollen Ak.IgE.RAST Klasse,juglans california pollen ak ige rast klasse
Kuhmolke Ak.IgE.RAST Klasse,kuhmolke ak ige rast klasse
Eiweiß Ak.IgE.RAST Klasse,eiweiss ak ige rast klasse
Eigelb Ak.IgE.RAST Klasse,eigelb ak ige rast klasse
Elchfleisch Ak.IgE.RAST Klasse,elchfleisch ak ige rast klasse
Ulmus americana Ak.IgE.RAST Klasse,ulmus americana ak ige rast klasse
Epicoccum purpurascens Ak.IgE.RAST Klasse,epicoccum purpurascens ak ige rast klasse
Foeniculum vulgare frisch Ak.IgE.RAST Klasse,foeniculum vulgare frisch ak ige rast klasse
Fuchs Ak.IgE.RAST Klasse,fuchs ak ige rast klasse
Gluten Ak.IgE.RAST Klasse,gluten ak ige rast klasse
Rehepithel Ak.IgE.RAST Klasse,rehepithel ak ige rast klasse
Anethum graveolens Ak.IgE.RAST Klasse,anethum graveolens ak ige rast klasse
Hundeschuppen Ak.IgE.RAST Klasse,hundeschuppen ak ige rast klasse
"Prolaktin^1,5 Stunden nach Dosis Insulin intravenös",prolaktin dosis insulin intravenoes
Prolaktin^2 Stunden nach XXX Stimulation,prolaktin stimulation
Herpes-simplex-Virus Typ 2 DNA,herpes simplex virus typ dna
Acetylcholinesterase,acetylcholinesterase
Borrelia burgdorferi Ak,borrelia burgdorferi ak
Glutathionperoxidase,glutathionperoxidase
Strychnin,strychnin
Harnstoff,harnstoff
Glutathion-S-Transferase,glutathion transferase
(Katzenschuppen+Kuhschuppen+Hundeschuppen+Pferdeschuppen) Ak.IgE,katzenschuppen kuhschuppen hundeschuppen pferdeschuppen ak ige
(Arachis hypogaea+Kuhmilch+Eiweiß+Gadus morhua+Glycine max+Triticum aestivum) Ak.IgE,arachis hypogaea kuhmilch eiweiss gadus morhua glycine max triticum aestivum ak ige
Entenfeder Ak.IgE.RAST Klasse,entenfeder ak ige rast klasse
Gesamtei Ak.IgE.RAST Klasse,gesamtei ak ige rast klasse
Insulin^Basislinie,insulin basislinie
Eucalyptus spp Ak.IgE.RAST Klasse,eucalyptus spp ak ige rast klasse
Euroglyphus maynei Ak.IgE.RAST Klasse,euroglyphus maynei ak ige rast klasse
Festuca elatior Ak.IgE.RAST Klasse,festuca elatior ak ige rast klasse
Finkenfeder Ak.IgE.RAST Klasse,finkenfeder ak ige rast klasse
Kochia scoparia Ak.IgE.RAST Klasse,kochia scoparia ak ige rast klasse
Formaldehyd Ak.IgE.RAST Klasse,formaldehyd ak ige rast klasse
Aesculus hippocastanum Ak.IgE.RAST Klasse,aesculus hippocastanum ak ige rast klasse
Hühnerfeder Ak.IgE.RAST Klasse,huehnerfeder ak ige rast klasse
Chinchilla Ak.IgE.RAST Klasse,chinchilla ak ige rast klasse
Cladosporium herbarum Ak.IgE.RAST Klasse,cladosporium herbarum ak ige rast klasse
Kokosnuss Ak.IgE.RAST Klasse,kokosnuss ak ige rast klasse
Gadus morhua Ak.IgE.RAST Klasse,gadus morhua ak ige rast klasse
Daphnia Ak.IgE.RAST Klasse,daphnia ak ige rast klasse
Phoenix canariensis-Pollen Ak.IgE.RAST Klasse,phoenix canariensis pollen ak ige rast klasse
Echinococcus sp Ak.IgE.RAST Klasse,echinococcus sp ak ige rast klasse
Solanum melongena Ak.IgE.RAST Klasse,solanum melongena ak ige rast klasse
Iva ciliata Ak.IgE.RAST Klasse,iva ciliata ak ige rast klasse
Androstanediol,androstanediol
Angiotensin II,angiotensin ii
Calcitonin,calcitonin
HIV-1 gp41 Ak,hiv gp ak
Androstanolon,androstanolon
Erythropoietin,erythropoietin
Fructosamin,fructosamin
Gastrin,gastrin
Glucagon,glucagon
Ornithincarbamoyltransferase,ornithincarbamoyltransferase
Interleukin-10,interleukin
Methionin,methionin
Gamma-Aminobutyrat,gamma aminobutyrat
Glutamin,glutamin
Alpha-Aminoadipat,alpha aminoadipat
Herpes-simplex-Virus Typ 2 Ak.IgM,herpes simplex virus typ ak igm
Kollagen crosslinked N-Telopeptid/Creatinin,kollagen crosslinked telopeptid creatinin
Neisseria gonorrhoeae,neisseria gonorrhoeae
Bilirubin.glucuronidiert+Bilirubin.Albumin gebunden,bilirubin glucuronidiert bilirubin albumin gebunden
Prostaglandin F2 alpha,prostaglandin alpha
Uroporphyrin,uroporphyrin
Omeprazol,omeprazol
Ceftriaxon,ceftriaxon
DNase B Ak.Streptokokken,dnase ak streptokokken
Hepatitis-E-Virus Ak.IgM,hepatitis virus ak igm
Jo-1 extrahierbarer nukleärer Ak,jo extrahierbarer nukleaerer ak
Cortisol^45 Minuten nach Dosis Insulin intravenös,cortisol minuten dosis insulin intravenoes
Phosphatidylserin Ak.IgG,phosphatidylserin ak igg
Lincomycin,lincomycin
Basophile/Leukozyten,basophile leukozyten
Vancomycin,vancomycin
Ribosomaler P Ak,ribosomaler ak
Adrenalin/Creatinin,adrenalin creatinin
Glutamin/Creatinin,glutamin creatinin
Morphium,morphium
Hypochromie,hypochromie
IgA,iga
Makrozyten,makrozyten
Corticotropin^45 Minuten nach 1 µg/kg CRH intravenös,corticotropin minuten kg crh intravenoes
Alpha-Ketoglutarat/Creatinin,alpha ketoglutarat creatinin
Beta-Hydroxybutyrat/Creatinin,beta hydroxybutyrat creatinin
Chlorid/Creatinin,chlorid creatinin
Methionin/Creatinin,methionin creatinin
"Calcitonin^vor 0,5 µg/kg Pentagastrin intravenös",calcitonin kg pentagastrin intravenoes
Finkenfeder Ak.IgE,finkenfeder ak ige
Interferon.alpha,interferon alpha
Coxiella burnetii Phase 2 Ak.IgM,coxiella burnetii phase ak igm
Vesikuläre-Stomatitis-Indiana-Virus Ak,vesikulaere stomatitis indiana virus ak
SARS-Coronavirus Ak.IgM,sars coronavirus ak igm
Powassan-Virus Ak.IgG,powassan virus ak igg
Jamestown-Canyon-Virus Ak.IgM,jamestown canyon virus ak igm
Influenza-Virus A NS1-Gen,influenza virus ns gen
Delamanid,delamanid
Protein^5. Probenmaterial,protein probenmaterial
Thyreotropin^2. Probenmaterial nach XXX Stimulation,thyreotropin probenmaterial stimulation
Blasten.CD2/Blasten,blasten cd blasten
Estradiol.bioverfügbar,estradiol bioverfuegbar
Rheumafaktor,rheumafaktor
Natrium,natrium
(Carum carvi+Elettaria cardamomum+Muskatblüte+Syzygium aromaticum) Ak.IgE,carum carvi elettaria cardamomum muskatbluete syzygium aromaticum ak ige
Sorghum halepense Ak.IgE.RAST Klasse,sorghum halepense ak ige rast klasse
Dactylis glomerata Ak.IgE.RAST Klasse,dactylis glomerata ak ige rast klasse
Elymus triticoides Ak.IgE.RAST Klasse,elymus triticoides ak ige rast klasse
Holcus lanatus Ak.IgE.RAST Klasse,holcus lanatus ak ige rast klasse
Glycophagus domesticus Ak.IgE.RAST Klasse,glycophagus domesticus ak ige rast klasse
Ziegenmilch Ak.IgE.RAST Klasse,ziegenmilch ak ige rast klasse
Solidago virgaurea Ak.IgE.RAST Klasse,solidago virgaurea ak ige rast klasse
Paspalum notatum Ak.IgE.RAST Klasse,paspalum notatum ak ige rast klasse
Arrhenatherum elatius Ak.IgE.RAST Klasse,arrhenatherum elatius ak ige rast klasse
Anthoxanthum odoratum Ak.IgE.RAST Klasse,anthoxanthum odoratum ak ige rast klasse
Hippoglossus hippoglossus Ak.IgE.RAST Klasse,hippoglossus hippoglossus ak ige rast klasse
Mumps-Virus,mumps virus
Coccidioides immitis Ak.IgG,coccidioides immitis ak igg
Coccidioides immitis Ak.IgM,coccidioides immitis ak igm
Clostridioides difficile Toxin A,clostridioides difficile toxin
Beta-Globulin/Protein.gesamt,beta globulin protein gesamt
Gamma-Globulin/Protein.gesamt,gamma globulin protein gesamt
Corticotropin^vor 1 µg/kg CRH intravenös,corticotropin kg crh intravenoes
Aconitat/Creatinin,aconitat creatinin
Glycin/Creatinin,glycin creatinin
Hippurat/Creatinin,hippurat creatinin
Desoxypyridinolin.frei/Creatinin,desoxypyridinolin frei creatinin
Insulin-ähnlicher Wachstumsfaktor I,insulin aehnlicher wachstumsfaktor
Hämoglobinmuster,haemoglobinmuster
Blasten/Leukozyten,blasten leukozyten
Clorazepat,clorazepat
Hamsterepithel Ak.IgE.RAST Klasse,hamsterepithel ak ige rast klasse
Carya illinoinensis Baum Ak.IgE.RAST Klasse,carya illinoinensis baum ak ige rast klasse
Carpinus betulus Ak.IgE.RAST Klasse,carpinus betulus ak ige rast klasse
Dolichovespula arenaria Ak.IgE.RAST Klasse,dolichovespula arenaria ak ige rast klasse
Ethylenoxid Ak.IgE.RAST Klasse,ethylenoxid ak ige rast klasse
Tabanus spp Ak.IgE.RAST Klasse,tabanus spp ak ige rast klasse
Alopercurus pratensis Ak.IgE.RAST Klasse,alopercurus pratensis ak ige rast klasse
Zingiber officinale Ak.IgE.RAST Klasse,zingiber officinale ak ige rast klasse
Poa pratensis Ak.IgE.RAST Klasse,poa pratensis ak ige rast klasse
Agrostis stolonifera Ak.IgE.RAST Klasse,agrostis stolonifera ak ige rast klasse
Cyamopsis tetragonoloba Ak.IgE.RAST Klasse,cyamopsis tetragonoloba ak ige rast klasse
Gummi arabicum Ak.IgE.RAST Klasse,gummi arabicum ak ige rast klasse
Humulus lupus Ak.IgE.RAST Klasse,humulus lupus ak ige rast klasse
Pferdeschuppen Ak.IgE.RAST Klasse,pferdeschuppen ak ige rast klasse
Pferde-Serumprotein Ak.IgE.RAST Klasse,pferde serumprotein ak ige rast klasse
Psidium guajava Ak.IgE.RAST Klasse,psidium guajava ak ige rast klasse
Liquidambar styraciflua Ak.IgE.RAST Klasse,liquidambar styraciflua ak ige rast klasse
Corylus avellana Ak.IgE.RAST Klasse,corylus avellana ak ige rast klasse
Corylus avellana-Pollen Ak.IgE.RAST Klasse,corylus avellana pollen ak ige rast klasse
Honig Ak.IgE.RAST Klasse,honig ak ige rast klasse
Hausstaub Greer Ak.IgE.RAST Klasse,hausstaub greer ak ige rast klasse
Humanes Insulin Ak.IgE.RAST Klasse,humanes insulin ak ige rast klasse
Porcines Insulin Ak.IgE.RAST Klasse,porcines insulin ak ige rast klasse
Isocyanat (TDI) Ak.IgE.RAST Klasse,isocyanat tdi ak ige rast klasse
Citrus limon Ak.IgE.RAST Klasse,citrus limon ak ige rast klasse
Lepidoglyphus destructor Ak.IgE.RAST Klasse,lepidoglyphus destructor ak ige rast klasse
Hausstaub Hollister-Stier Ak.IgE.RAST Klasse,hausstaub hollister stier ak ige rast klasse
Bovines Insulin Ak.IgE.RAST Klasse,bovines insulin ak ige rast klasse
Ispaghula laxativ Ak.IgE.RAST Klasse,ispaghula laxativ ak ige rast klasse
Lamm Ak.IgE.RAST Klasse,lamm ak ige rast klasse
Chenopodium album Ak.IgE.RAST Klasse,chenopodium album ak ige rast klasse
Latex Ak.IgE.RAST Klasse,latex ak ige rast klasse
Latexhandschuh-Extrakt Ak.IgE.RAST Klasse,latexhandschuh extrakt ak ige rast klasse
Atriplex lentiformis Ak.IgE.RAST Klasse,atriplex lentiformis ak ige rast klasse
Tilia cordata Ak.IgE.RAST Klasse,tilia cordata ak ige rast klasse
Scomber scombrus Ak.IgE.RAST Klasse,scomber scombrus ak ige rast klasse
Mangifera indica Ak.IgE.RAST Klasse,mangifera indica ak ige rast klasse
Rinderleber Ak.IgE.RAST Klasse,rinderleber ak ige rast klasse
Homarus gammarus Ak.IgE.RAST Klasse,homarus gammarus ak ige rast klasse
Stutenmilch Ak.IgE.RAST Klasse,stutenmilch ak ige rast klasse
Origanum majorana Ak.IgE.RAST Klasse,origanum majorana ak ige rast klasse
Maxatase Ak.IgE.RAST Klasse,maxatase ak ige rast klasse
Nerzepithel Ak.IgE.RAST Klasse,nerzepithel ak ige rast klasse
Maus-Urinproteine Ak.IgE.RAST Klasse,maus urinproteine ak ige rast klasse
Artemisia vulgaris Ak.IgE.RAST Klasse,artemisia vulgaris ak ige rast klasse
Urtica dioica Ak.IgE.RAST Klasse,urtica dioica ak ige rast klasse
Muskat Ak.IgE.RAST Klasse,muskat ak ige rast klasse
Octopus vulgaris Ak.IgE.RAST Klasse,octopus vulgaris ak ige rast klasse
Cladotanytarsus lewisi Ak.IgE.RAST Klasse,cladotanytarsus lewisi ak ige rast klasse
Mentha piperita Ak.IgE.RAST Klasse,mentha piperita ak ige rast klasse
Ephestia kuehniella Ak.IgE.RAST Klasse,ephestia kuehniella ak ige rast klasse
Mausepithel Ak.IgE.RAST Klasse,mausepithel ak ige rast klasse
Creatinkinase.makromolekular,creatinkinase makromolekular
Plasmodium ovale Ak,plasmodium ovale ak
Morus alba Ak.IgE.RAST Klasse,morus alba ak ige rast klasse
Mytilus edulis Ak.IgE.RAST Klasse,mytilus edulis ak ige rast klasse
Avena sativa kultiviert Ak.IgE.RAST Klasse,avena sativa kultiviert ak ige rast klasse
Carica papaya Ak.IgE.RAST Klasse,carica papaya ak ige rast klasse
Wellensittich-Serumproteine Ak.IgE.RAST Klasse,wellensittich serumproteine ak ige rast klasse
Petroselinum crispum Ak.IgE.RAST Klasse,petroselinum crispum ak ige rast klasse
Passiflora edulis Ak.IgE.RAST Klasse,passiflora edulis ak ige rast klasse
Hexamethylen-Diisocyanat (HDI) Ak.IgE.RAST Klasse,hexamethylen diisocyanat hdi ak ige rast klasse
Diphenylmethan-Diisocyanat (MDI) Ak.IgE.RAST Klasse,diphenylmethan diisocyanat mdi ak ige rast klasse
Latexhandschuh-Extrakt ammonisiert Ak.IgE.RAST Klasse,latexhandschuh extrakt ammonisiert ak ige rast klasse
Latexhandschuh-Extrakt gepuffert Ak.IgE.RAST Klasse,latexhandschuh extrakt gepuffert ak ige rast klasse
Lens esculenta Ak.IgE.RAST Klasse,lens esculenta ak ige rast klasse
Lactuca sativa Ak.IgE.RAST Klasse,lactuca sativa ak ige rast klasse
Citrus aurantifolia Ak.IgE.RAST Klasse,citrus aurantifolia ak ige rast klasse
Scomber japonicus Ak.IgE.RAST Klasse,scomber japonicus ak ige rast klasse
Trachurus japonicus Ak.IgE.RAST Klasse,trachurus japonicus ak ige rast klasse
Malz Ak.IgE.RAST Klasse,malz ak ige rast klasse
Epstein-Barr-Virus DNA,epstein barr virus dna
Erythromycin+Sulfisoxazol,erythromycin sulfisoxazol
Trypanosoma evansi Ak,trypanosoma evansi ak
Glutamat,glutamat
Kuhmilch gekocht Ak.IgE.RAST Klasse,kuhmilch gekocht ak ige rast klasse
(Alnus incana+Betula verrucosa+Corylus avellana+Fraxinus americana) Ak.IgE,alnus incana betula verrucosa corylus avellana fraxinus americana ak ige
Vespa crabro Ak.IgE,vespa crabro ak ige
Somatotropin^30 Minuten nach XXX Stimulation,somatotropin minuten stimulation
Estronsulfat,estronsulfat
Mycoplasma hominis,mycoplasma hominis
Trypanosoma cruzi Ak.IgM,trypanosoma cruzi ak igm
Thrombozyt Ak.IgG,thrombozyt ak igg
Thallium,thallium
Varicella-Zoster-Virus Ak.IgG,varicella zoster virus ak igg
Alnus rhombifolia Ak.IgE.RAST Klasse,alnus rhombifolia ak ige rast klasse
Alkalase Ak.IgE.RAST Klasse,alkalase ak ige rast klasse
Prunus dulcis Ak.IgE.RAST Klasse,prunus dulcis ak ige rast klasse
Prunus armeniaca Ak.IgE.RAST Klasse,prunus armeniaca ak ige rast klasse
Ascaris sp Ak.IgE.RAST Klasse,ascaris sp ak ige rast klasse
Aspergillus fumigatus Ak.IgE.RAST Klasse,aspergillus fumigatus ak ige rast klasse
Laurus nobilis Ak.IgE.RAST Klasse,laurus nobilis ak ige rast klasse
Grüne Bohne Ak.IgE.RAST Klasse,gruene bohne ak ige rast klasse
Apis mellifera Ak.IgE.RAST Klasse,apis mellifera ak ige rast klasse
Beta vulgaris-Samen Ak.IgE.RAST Klasse,beta vulgaris samen ak ige rast klasse
Betula verrucosa Ak.IgE.RAST Klasse,betula verrucosa ak ige rast klasse
Citrus sinensis Ak.IgE.RAST Klasse,citrus sinensis ak ige rast klasse
Origanum vulgare Ak.IgE.RAST Klasse,origanum vulgare ak ige rast klasse
Syagrus romanzoffianum Ak.IgE.RAST Klasse,syagrus romanzoffianum ak ige rast klasse
Capsicum annuum Ak.IgE.RAST Klasse,capsicum annuum ak ige rast klasse
Pisum sativum Ak.IgE.RAST Klasse,pisum sativum ak ige rast klasse
Pyrus communis Ak.IgE.RAST Klasse,pyrus communis ak ige rast klasse
Penicillin V Ak.IgE.RAST Klasse,penicillin ak ige rast klasse
Olea europaea-Pollen Ak.IgE.RAST Klasse,olea europaea pollen ak ige rast klasse
Cicer arietinus Ak.IgE.RAST Klasse,cicer arietinus ak ige rast klasse
Piper nigrum Ak.IgE.RAST Klasse,piper nigrum ak ige rast klasse
Phthalsäureanhydrid Ak.IgE.RAST Klasse,phthalsaeureanhydrid ak ige rast klasse
Taubenkot Ak.IgE.RAST Klasse,taubenkot ak ige rast klasse
Arachis hypogaea Ak.IgE.RAST Klasse,arachis hypogaea ak ige rast klasse
Penicillium notatum Ak.IgE.RAST Klasse,penicillium notatum ak ige rast klasse
Pfeffer grün Ak.IgE.RAST Klasse,pfeffer gruen ak ige rast klasse
Phoma betae Ak.IgE.RAST Klasse,phoma betae ak ige rast klasse
Pistacia vera Ak.IgE.RAST Klasse,pistacia vera ak ige rast klasse
Plantago lanceolata Ak.IgE.RAST Klasse,plantago lanceolata ak ige rast klasse
Papaver somniferum Ak.IgE.RAST Klasse,papaver somniferum ak ige rast klasse
Ligustrum vulgare Ak.IgE.RAST Klasse,ligustrum vulgare ak ige rast klasse
Kaninchenfleisch Ak.IgE.RAST Klasse,kaninchenfleisch ak ige rast klasse
Franseria acanthicarpa Ak.IgE.RAST Klasse,franseria acanthicarpa ak ige rast klasse
Pinus nigra Ak.IgE.RAST Klasse,pinus nigra ak ige rast klasse
Pinus radiata Ak.IgE.RAST Klasse,pinus radiata ak ige rast klasse
Schweinefleisch Ak.IgE.RAST Klasse,schweinefleisch ak ige rast klasse
Ipomoea batatas Ak.IgE.RAST Klasse,ipomoea batatas ak ige rast klasse
Chlamydia trachomatis B Ak.IgM,chlamydia trachomatis ak igm
Pflaume Ak.IgE.RAST Klasse,pflaume ak ige rast klasse
Aureobasidium pullulans Ak.IgE.RAST Klasse,aureobasidium pullulans ak ige rast klasse
Brassica rapa Ak.IgE.RAST Klasse,brassica rapa ak ige rast klasse
Ratten-Urinproteine Ak.IgE.RAST Klasse,ratten urinproteine ak ige rast klasse
Rheum spp Ak.IgE.RAST Klasse,rheum spp ak ige rast klasse
Oryza sativa Ak.IgE.RAST Klasse,oryza sativa ak ige rast klasse
Rosa spp Hagebutte Ak.IgE.RAST Klasse,rosa spp hagebutte ak ige rast klasse
Pinus strobus Ak.IgE.RAST Klasse,pinus strobus ak ige rast klasse
Pleuronectes platessa Ak.IgE.RAST Klasse,pleuronectes platessa ak ige rast klasse
Solanum tuberosum Ak.IgE.RAST Klasse,solanum tuberosum ak ige rast klasse
